BluetoothAddress,DeviceId,AccountId,ActivationThreshold,AdvertisingDurationInMilliseconds,AdvertisingIntervalInMilliseconds,IsAutotuneEnabled,BatterySenseIntervalInSeconds,BatteryVoltage,BatteryVoltageThreshold,DisplayName,MagnitudeRMSInMilliGThreshold,FirmwareVersion,GatewayIMEI,HighTemperatureAlarmThresholdInCelsius,IsBatteryGood,IsConnected,IsHighTemperatureAlarmEnabled,IsIndefiniteAdvertisingEnabled,IsInSyncWithPortal,IsLongRangeModeEnabled,IsLowTemperatureAlarmEnabled,IsSensorOfflineAlarmEnabled,LastSeenUtc,Latitude,Longitude,LowTemperatureAlarmThresholdInCelsius,MissedHeartbeatMultiple,NotifyBCExtension,OutputDataRate,ProvisioningState,Scale,SensorAssetTypeId,SensorModelId,SiteId,TemperatureSenseIntervalInSeconds,IsMotionAlarmEnabled,IsLowBatteryAlarmEnabled,IsVibrationSampleEnabled,VibrationIntervalInSeconds,IsVibrationAlarmEnabled,VibrationAlarmThresholdInMilliG,Description,IsLeakAlarmEnabled,LevelReferenceInMillimeters,LeakAlarmLevelThresholdInMillimeters
9D5FF89548DE,BTAT0007,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,4000,1000,0,0,2,2,Reset  test,480,1.0.8,3.5125E+14,85,1,0,0,0,1,1,0,0,22:37.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,0,1,0,1,3600,0,0,,0,100,0
9E08F91920F2,MA1-00017,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,20,4000,1000,0,60,3,2,MA1-00017,640,1.0.801,3.5125E+14,85,1,0,0,0,1,0,0,1,02:38.0,,,-40,2,0,5,0,1,26,1,89805107-7331-ee11-bdf4-000d3af4fe83,0,1,0,1,3600,0,0,,0,100,0
A1B2C3085208,MA1-999910,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999910,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:09.0,54.0987913,-116.6193844,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085209,MA1-999911,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999911,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:10.0,54.09869899,-116.6193825,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085211,MA1-999912,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999912,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:11.4,54.09861669,-116.6193825,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085212,MA1-999913,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999913,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:12.3,54.09851994,-116.6193996,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085213,MA1-999914,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999914,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:13.5,54.09843096,-116.619392,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085214,MA1-999915,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999915,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:14.6,54.09733497,-116.6151914,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085217,MA1-999916,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999916,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:17.0,54.09732375,-116.6150335,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
A1B2C3085218,MA1-999917,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,600,3,2,MA1-999917,960,FAUX,1.23457E+14,85,1,1,0,1,1,1,1,0,52:18.1,54.09733216,-116.6148645,-40,2,1,5,1,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,600,1,0,0,0,0,0,,0,0,0
